Type,,Cen Lat,Cen Lon,Point 1 Lat,Point 1 Lon,Point 2 Lat,Point 2 Lon,Point 3 Lat,Point 3 Lon,Point 4 Lat,Point 4 Lon,Point 5 Lat,Point 5 Lon,Point 6 Lat,Point 6 Lon,Point 7 Lat ,Point 7 Lon,Point 8 Lat ,Point 8 Lon,Point 9 Lat ,Point 9 Lon,Point 10 Lat ,Point 10 Lon,Point 11 Lat ,Point 11 Lon,Point 12 Lat ,Point 12 Lon,Point 13 Lat ,Point 13 Lon,Point 14 Lat ,Point 14 Lon,Point 15 Lat ,Point 15 Lon,Point 16 Lat ,Point 16 Lon,Point 17 Lat ,Point 17 Lon,Point 18 Lat ,Point 18 Lon,Point 19 Lat ,Point 19 Lon,Point 20 Lat ,Point 20 Lon,Point 21 Lat ,Point 21 Lon,Point 22 Lat ,Point 22 Lon,Point 23 Lat ,Point 23 Lon,Point 24 Lat ,Point 24 Lon,Point 25 Lat ,Point 25 Lon,Point 26 Lat ,Point 26 Lon,Point 27 Lat ,Point 27 Lon,Point 28 Lat ,Point 28 Lon,Point 29 Lat ,Point 29 Lon,Point 30 Lat ,Point 30 Lon,Point 31 Lat ,Point 31 Lon,Point 32 Lat ,Point 32 Lon,Point 33 Lat ,Point 33 Lon,Point 34 Lat ,Point 34 Lon,Point 35 Lat ,Point 35 Lon,Point 36 Lat ,Point 36 Lon
Building 13,,-35.241640,149.086582,-35.241591,149.086514,-35.241588,149.086768,-35.241680,149.086770,-35.241681,149.086586,-35.241690,149.086588,-35.241692,149.086604,-35.241721,149.086606,-35.241723,149.086626,-35.241775,149.086626,-35.241777,149.086606,-35.241856,149.086607,-35.241856,149.086520,-35.241828,149.086519,-35.241828,149.086504,-35.241691,149.086505,-35.241689,149.086553,-35.241681,149.086553,-35.241679,149.086507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 13A,,-35.241776,149.086956,-35.241684,149.086900,-35.241694,149.087036,-35.241873,149.087029,-35.241875,149.086896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 13B,,-35.241688,149.087406,-35.241603,149.087343,-35.241605,149.087475,-35.241777,149.087476,-35.241775,149.087348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 14,Boiler House,-35.241437,149.086143,-35.241340,149.086031,-35.241339,149.086243,-35.241529,149.086247,-35.241532,149.086252,-35.241547,149.086246,-35.241556,149.086271,-35.241597,149.086256,-35.241588,149.086213,-35.241647,149.086208,-35.241642,149.086069,-35.241527,149.086069,-35.241527,149.086035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 15,,-35.235209,149.085722,-35.235131,149.085566,-35.235130,149.085790,-35.235182,149.085792,-35.235182,149.085829,-35.235131,149.085824,-35.235136,149.085940,-35.235266,149.085952,-35.235272,149.085834,-35.235255,149.085832,-35.235255,149.085793,-35.235309,149.085806,-35.235289,149.085565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 16A,,-35.240916,149.085825,-35.240869,149.085700,-35.240872,149.086004,-35.240963,149.086004,-35.240964,149.085727,-35.240939,149.085726,-35.240937,149.085705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 16B,,-35.241176,149.085788,-35.240989,149.085697,-35.240991,149.085874,-35.241398,149.085876,-35.241392,149.085707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 16C,,-35.241265,149.086640,-35.241109,149.086501,-35.241110,149.086776,-35.241405,149.086778,-35.241408,149.086493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 17,,-35.236001,149.085660,-35.235858,149.085533,-35.235857,149.085772,-35.236139,149.085772,-35.236134,149.085534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 18,,-35.237203,149.091961,-35.237050,149.091588,-35.237152,149.092002,-35.236862,149.092111,-35.236921,149.092360,-35.237068,149.092309,-35.237042,149.092194,-35.237120,149.092163,-35.237151,149.092278,-35.237377,149.092195,-35.237317,149.091945,-35.237269,149.091961,-35.237258,149.091915,-35.237270,149.091906,-35.237259,149.091855,-35.237356,149.091822,-35.237282,149.091512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
